uri,title,graph,parent
http://reference.data.gov.uk/id/department/attorney-general,Attorney General's Office,2011-03-31,
http://reference.data.gov.uk/id/department/attorney-general,Attorney General's Office,2011-03-31,
http://reference.data.gov.uk/id/department/bis,Department for Business Innovation and Skills,2011-03-31,
http://reference.data.gov.uk/id/department/bis,"Department for Business, Innovation and Skills",2011-03-31,
http://reference.data.gov.uk/id/department/co,Cabinet Office,2011-03-31,
http://reference.data.gov.uk/id/department/co,Cabinet Office,2011-03-31,
http://reference.data.gov.uk/id/department/cps,Crown Prosecution Service,2011-03-31,
http://reference.data.gov.uk/id/department/dclg,Department for Communities and Local Government,2011-03-31,
http://reference.data.gov.uk/id/department/dclg,Department for Communities and Local Government,2011-03-31,
http://reference.data.gov.uk/id/department/dcms,"Department for Culture, Media and Sport",2011-03-31,
http://reference.data.gov.uk/id/department/dcms,"Department for Culture, Media and Sport",2011-03-31,
http://reference.data.gov.uk/id/department/decc,Department for Energy and Climate Change,2011-03-31,
http://reference.data.gov.uk/id/department/decc,Department of Energy and Climate Change,2011-03-31,
http://reference.data.gov.uk/id/department/decc,Department of Energy and Climate Change,2011-03-31,
http://reference.data.gov.uk/id/department/defra,"Department for Environment, Food and Rural Affairs",2011-03-31,
http://reference.data.gov.uk/id/department/defra,"Department for Environment, Food and Rural Affairs",2011-03-31,
http://reference.data.gov.uk/id/department/department-for-culture-media-and-sport,"department for Culture, Media and Sport",2011-03-31,
http://reference.data.gov.uk/id/department/dfe,Department for Education,2011-03-31,
http://reference.data.gov.uk/id/department/dfe,Department for Education,2011-03-31,
http://reference.data.gov.uk/id/department/dfid,Department for International Development,2011-03-31,
http://reference.data.gov.uk/id/department/dfid,Department for International Development,2011-03-31,
http://reference.data.gov.uk/id/department/dft,Department for Transport,2011-03-31,
http://reference.data.gov.uk/id/department/dft,Department for Transport,2011-03-31,
http://reference.data.gov.uk/id/department/dh,Department of Health,2011-03-31,
http://reference.data.gov.uk/id/department/dh,Department of Health,2011-03-31,
http://reference.data.gov.uk/id/department/dwp,Department for Work and Pensions,2011-03-31,
http://reference.data.gov.uk/id/department/dwp,Department for Work and Pensions,2011-03-31,
http://reference.data.gov.uk/id/department/fco,Foreign and Commonwealth Office,2011-03-31,
http://reference.data.gov.uk/id/department/fco,Foreign and Commonwealth Office,2011-03-31,
http://reference.data.gov.uk/id/department/geo,Government Equalities Office,2011-03-31,
http://reference.data.gov.uk/id/department/geo,Government Equalities Office,2011-03-31,
http://reference.data.gov.uk/id/department/hmrc,Her Majesty's Revenue and Customs,2011-03-31,
http://reference.data.gov.uk/id/department/hmt,HM Treasury,2011-03-31,
http://reference.data.gov.uk/id/department/hmt,Her Majesty's Treasury,2011-03-31,
http://reference.data.gov.uk/id/department/ho,Home Office,2011-03-31,
http://reference.data.gov.uk/id/department/ho,Home Office,2011-03-31,
http://reference.data.gov.uk/id/department/justice,Ministry of Justice,2011-03-31,
http://reference.data.gov.uk/id/department/justice,Ministry of Justice,2011-03-31,
http://reference.data.gov.uk/id/department/mod,Ministry of Defence,2011-03-31,
http://reference.data.gov.uk/id/department/mod,Ministry of Defence,2011-03-31,
http://reference.data.gov.uk/id/department/nio,Northern Ireland Office,2011-03-31,
http://reference.data.gov.uk/id/department/nio,Northern Ireland Office,2011-03-31,
http://reference.data.gov.uk/id/department/scottish-government,Scottish Government,2011-03-31,
http://reference.data.gov.uk/id/department/so,Scotland Office,2011-03-31,
http://reference.data.gov.uk/id/department/so,Scotland Office,2011-03-31,
http://reference.data.gov.uk/id/department/the-supreme-court,The Supreme Court,2011-03-31,
http://reference.data.gov.uk/id/department/treasury-solicitors,Treasury Solicitors,2011-03-31,
http://reference.data.gov.uk/id/department/wo,Wales Office,2011-03-31,
http://reference.data.gov.uk/id/department/wo,Wales Office,2011-03-31,
http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency,Animal Health Veterinary Laboratories Agency,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/appointments-commission,Appointments Commission,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/asset-protection-agency,Asset Protection Agency,2011-03-31,http://reference.data.gov.uk/id/department/hmt
http://reference.data.gov.uk/id/public-body/audit-commission,Audit Commission,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/big-lottery-fund,BIG Lottery Fund,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/big-lottery-fund,Big Lottery Fund,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/british-museum,British Museum,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/british-transport-police-authority,British Transport Police Authority,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/care-quality-commission,Care Quality Commission,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/ccwater,CCWater,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission,Child Maintenance and Enforcement Commission,2011-03-31,http://reference.data.gov.uk/id/department/dwp
http://reference.data.gov.uk/id/public-body/children-and-family-court-advisory-and-support-ser,Children and Family Court Advisory and Support Service,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/childrens-workforce-development-council,Children's Workforce Development Council,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a,Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission),2011-03-31,http://reference.data.gov.uk/id/department/geo
http://reference.data.gov.uk/id/public-body/competition-commission,Competition Commission,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/council-for-healthcare-regulatory-excellence,Council for Healthcare Regulatory Excellence,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission,Criminal Cases Review Commission,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority,Criminal Injuries Compensation Authority,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/criminal-records-bureau,Criminal Records Bureau,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/defence-support-group-dsg,Defence Support Group (DSG),2011-03-31,http://reference.data.gov.uk/id/department/mod
http://reference.data.gov.uk/id/public-body/dfid,DFID,2011-03-31,http://reference.data.gov.uk/id/department/dfid
http://reference.data.gov.uk/id/public-body/driver-vehicle-licensing-agency,Driver & Vehicle Licensing Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/driving-standards-agency,Driving Standards Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council,Engineering & Physical Sciences Research Council,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/english-heritage,English Heritage,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/environment-agency,Environment Agency,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/fco-services,FCO Services,2011-03-31,http://reference.data.gov.uk/id/department/fco
http://reference.data.gov.uk/id/public-body/geffrye-museum,Geffrye Museum,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/government-car-despatch-agency,Government Car & Despatch Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/government-office-network,Government Office Network,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/health-and-safety-executive,Health and Safety Executive,2011-03-31,http://reference.data.gov.uk/id/department/dwp
http://reference.data.gov.uk/id/public-body/health-protection-agency,Health Protection Agency,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/higher-education-funding-council-for-england,Higher Education Funding Council for England,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/highways-agency,Highways Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate,HM Crown Prosecution Service Inspectorate,2011-03-31,http://reference.data.gov.uk/id/department/attorney-general
http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary,HM Inspectorate of Constabulary,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/homes-communities-agency,Homes & Communities Agency,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/horniman-museum-gardens,Horniman Museum & Gardens,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/human-tissue-authority,Human Tissue Authority,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/identity-and-passport-service,Identity and Passport Service,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/independent-housing-ombudsman-limited,Independent Housing Ombudsman Limited,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/independent-living-fund,Independent Living Fund,2011-03-31,http://reference.data.gov.uk/id/department/dwp
http://reference.data.gov.uk/id/public-body/independent-police-complaints-commission,Independent Police Complaints Commission,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/independent-safeguarding-authority,Independent Safeguarding Authority,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/information-commissioners-office,Information Commissioner's Office,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission,Infrastructure Planning Commission,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/intellectual-property-office,Intellectual Property Office,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/joint-nature-conservation-committee,Joint Nature Conservation Committee,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/judicial-appointments-commission,Judicial Appointments Commission.,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/land-registry,Land Registry,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/leasehold-advisory-service,Leasehold Advisory Service,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/legal-services-board,Legal Services Board,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/legal-services-commission,Legal Services Commission,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/ltgdc,LTGDC,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/marine-management-organisation,Marine Management Organisation,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/maritime-coastguard-agency,Maritime & Coastguard Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/medical-research-council,Medical Research Council,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/met-office,Met Office,2011-03-31,http://reference.data.gov.uk/id/department/mod
http://reference.data.gov.uk/id/public-body/monitor,Monitor,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/national-army-museum,National Army Museum,2011-03-31,http://reference.data.gov.uk/id/department/mod
http://reference.data.gov.uk/id/public-body/national-college-for-leadership-of-schools-and-chi,National College for Leadership of Schools and Children's Services,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/national-gallery,The National Gallery,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/national-heritage-memorial-fund,National Heritage Memorial Fund,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle,National Institute for Health and Clinical Excellence,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/national-lottery-commission,National Lottery Commission,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/national-measurement-office,National Measurement Office,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry,National Museum of Science and Industry,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/national-museums-liverpool,National Museums Liverpool,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/national-offender-management-service-noms,National Offender Management Service (NOMS),2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/national-patient-safety-agency,National Patient Safety Agency,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/natural-england,Natural England,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/nhs-blood-transplant,NHS Blood & Transplant,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care,NHS Information Centre for health & social care,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/nhs-litigation-authority,NHS Litigation Authority,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/northern-ireland-human-rights-commission,Northern Ireland Human Rights Commission,2011-03-31,http://reference.data.gov.uk/id/department/nio
http://reference.data.gov.uk/id/public-body/northern-lighthouse-board,Northern Lighthouse Board,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/npia,NPIA,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic,"Office for Standards in Education, Children's Services and Skills",2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/office-of-the-childrens-commissioner,Office of the Children's Commissioner,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/office-of-the-immigration-services-commissioner,Office of the Immigration Services Commissioner,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/ofqual,Ofqual,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/olympic-delivery-authority,Olympic Delivery Authority,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/ordnance-survey,Ordnance Survey,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/parades-commission-for-northern-ireland,Parades Commission for Northern Ireland,2011-03-31,http://reference.data.gov.uk/id/department/nio
http://reference.data.gov.uk/id/public-body/public-lending-right,Public Lending Right,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency,Qualifications and Curriculum Development Agency,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/royal-air-force-museum,Royal Air Force Museum,2011-03-31,http://reference.data.gov.uk/id/department/mod
http://reference.data.gov.uk/id/public-body/rural-payments-agency,Rural Payments Agency,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/science-and-technology-facilities-council,Science and Technology Facilities Council,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/scottish-law-commission,Scottish Law Commission,2011-03-31,http://reference.data.gov.uk/id/department/scottish-government
http://reference.data.gov.uk/id/public-body/serious-fraud-office,Serious Fraud Office,2011-03-31,http://reference.data.gov.uk/id/department/attorney-general
http://reference.data.gov.uk/id/public-body/serious-organised-crime-agency,Serious Organised Crime Agency,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/sia,SIA,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/sport-england,Sport England,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/tate,Tate,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/tenant-services-authority,Tenant Services Authority,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/the-british-library,The British Library,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/the-british-library,The British Library,2011-03-31,http://reference.data.gov.uk/id/department/department-for-culture-media-and-sport
http://reference.data.gov.uk/id/public-body/the-coal-authority,The Coal Authority,2011-03-31,http://reference.data.gov.uk/id/department/decc
http://reference.data.gov.uk/id/public-body/the-general-social-care-council,The General Social Care Council,2011-03-31,http://reference.data.gov.uk/id/department/dh
http://reference.data.gov.uk/id/public-body/the-insolvency-service,The Insolvency Service,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/the-national-archives,The National Archives,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/the-natural-history-museum,The Natural History Museum,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/the-parole-board-for-england-wales,The Parole Board for England & Wales,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/the-parole-board-for-england-wales,The Parole Board for England & wales,2011-03-31,http://reference.data.gov.uk/id/department/justice
http://reference.data.gov.uk/id/public-body/the-pensions-regulator,The Pensions Regulator,2011-03-31,http://reference.data.gov.uk/id/department/dwp
http://reference.data.gov.uk/id/public-body/the-standards-board-for-england,The Standards Board for England,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/thurrock-thames-gateway-development-corporation,Thurrock Thames Gateway Development Corporation,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/training-and-development-agency-for-schools,Training and Development Agency for Schools,2011-03-31,http://reference.data.gov.uk/id/department/dfe
http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority,UK Atomic Energy Authority,2011-03-31,http://reference.data.gov.uk/id/department/bis
http://reference.data.gov.uk/id/public-body/uk-border-agency,UK Border Agency,2011-03-31,http://reference.data.gov.uk/id/department/ho
http://reference.data.gov.uk/id/public-body/uk-dmo,UK DMO,2011-03-31,http://reference.data.gov.uk/id/department/hmt
http://reference.data.gov.uk/id/public-body/uk-sport,UK Sport,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/valuation-office-agency,Valuation Office Agency,2011-03-31,http://reference.data.gov.uk/id/department/hmrc
http://reference.data.gov.uk/id/public-body/vehicle-certification-agency,Vehicle Certification Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/vehicle-operator-services-agency,Vehicle & Operator Services Agency,2011-03-31,http://reference.data.gov.uk/id/department/dft
http://reference.data.gov.uk/id/public-body/veterinary-medicines-directorate,Veterinary Medicines Directorate,2011-03-31,http://reference.data.gov.uk/id/department/defra
http://reference.data.gov.uk/id/public-body/victoria-albert-museum,Victoria & Albert Museum,2011-03-31,http://reference.data.gov.uk/id/department/dcms
http://reference.data.gov.uk/id/public-body/west-northamptonshire-development-corporation,West Northamptonshire Development Corporation,2011-03-31,http://reference.data.gov.uk/id/department/dclg
http://reference.data.gov.uk/id/public-body/youth-justice-board,Youth Justice Board,2011-03-31,http://reference.data.gov.uk/id/department/justice
